"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Offshore wind energy","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Renewable hydropower","Electricity Generation (GWh)","All","2020",49.60
"Algeria","Renewable hydropower","Electricity Generation (GWh)","On-grid","2020",49.60
"Algeria","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Renewable hydropower","Electricity Installed Capacity (MW)","All","2020",208.60
"Algeria","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2020",208.60
"Algeria","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Mixed Hydro Plants","Electricity Generation (GWh)","All","2020",-
"Algeria","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Mixed Hydro Plants","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Mixed Hydro Plants","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Mixed Hydro Plants","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Mixed Hydro Plants","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Marine energy","Electricity Generation (GWh)","All","2020",-
"Algeria","Marine energy","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Marine energy","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Marine energy","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Marine energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Marine energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Solid biofuels","Electricity Generation (GWh)","All","2020",-
"Algeria","Solid biofuels","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Solid biofuels","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Solid biofuels","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Solid biofuels","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Solid biofuels","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Renewable municipal waste","Electricity Generation (GWh)","All","2020",-
"Algeria","Renewable municipal waste","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Renewable municipal waste","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Renewable municipal waste","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Renewable municipal waste","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Renewable municipal waste","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Liquid biofuels","Electricity Generation (GWh)","All","2020",-
"Algeria","Liquid biofuels","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Liquid biofuels","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Liquid biofuels","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Liquid biofuels","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Liquid biofuels","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Biogas","Electricity Generation (GWh)","All","2020",-
"Algeria","Biogas","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Biogas","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Biogas","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Biogas","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Biogas","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Geothermal energy","Electricity Generation (GWh)","All","2020",-
"Algeria","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Geothermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Geothermal energy","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Geothermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Total Non-Renewable","Electricity Generation (GWh)","All","2020",78432.00
"Algeria","Total Non-Renewable","Electricity Generation (GWh)","On-grid","2020",78432.00
"Algeria","Total Non-Renewable","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Total Non-Renewable","Electricity Installed Capacity (MW)","All","2020",24763.50
"Algeria","Total Non-Renewable","Electricity Installed Capacity (MW)","On-grid","2020",23574.60
"Algeria","Total Non-Renewable","Electricity Installed Capacity (MW)","Off-grid","2020",1188.90
"Algeria","Pumped storage","Electricity Generation (GWh)","All","2020",-
"Algeria","Pumped storage","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Pumped storage","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Pumped storage","Electricity Installed Capacity (MW)","All","2020",-
"Algeria","Pumped storage","Electricity Installed Capacity (MW)","On-grid","2020",-
"Algeria","Pumped storage","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Algeria","Coal and peat","Electricity Generation (GWh)","All","2020",-
